"Type","Source","Destination","Size (Bytes)"
"Image","https://offlimits.co.in/pages/store-gallery","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/pages/sitemap","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/casual-shoes-men","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/high-top-shoes-for-men","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-white-ocw-926-02","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/women-clothing","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/pages/privacy-policy","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/women","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/men-running-shoes","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/new-arrivals-2026/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/women-bestsellers","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-black-silver-ocm-915-08","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/mens-bestsellers/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/men-gym-training","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/women-running-gym","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/mens-bestsellers/products/unbound-teal-orm-855-06","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/pages/return-exchange","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/collections/white-shoes-for-men","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Mask_Group_45_2x_a50b4329-12b5-4442-9b38-4d4878dfd311.png?v=1714371480","124012"
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_85_2x_63ebe7e7-ce79-4eeb-8b6b-75acf9489bdf.png?v=1714394634","373100"
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_76_3x_08fc6c44-c6d8-4d00-8ea5-c46ebc8d894e.png?v=1714453961","580223"
"Image","https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/mens-bestsellers/products/gladiator-off-white-orm-661-02","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/men-clothing","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/white-sneaker","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/women-track-suits","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/women-walking","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/new-arrivals","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/s-w-a-t-men","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/mens-bestsellers/products/sparta-pro-blue-orange-orm-795-03","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/men-track-suits","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/basketball-boots","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/men-shorts","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
"Image","https://offlimits.co.in/collections/men-sweatshirts","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/Group_70_2x_99e145f2-4ded-4a50-988c-7c4c7ea0d014.png?v=1714382380","147203"
