"Address","Content Type","Size (Bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://offlimits.co.in/cdn/shop/files/DSC_8964.jpg?v=1783424808","image/jpeg","189677","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/DSC_8969_4ca3149b-7992-4917-ac54-4ad44d1a213e.jpg?v=1783424807","image/jpeg","328257","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/DSC_8966_5f1407d1-5471-4a45-9938-db8cd59b43d7.jpg?v=1783424807","image/jpeg","155842","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/OCM-87803_5_11605c68-5d45-4cf2-a688-592c7f715e5d.jpg?v=1784625440","image/jpeg","181332","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/OCM-87803_1_d7cb16f9-ef8b-4ed0-8a03-c4abcfa388df_80x80.jpg?v=1784625440","image/jpeg","2834","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/OCM-87803_8_40ab088b-ebe5-4b5f-bf28-9d459b9a7dde.jpg?v=1784625440","image/jpeg","76331","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/OCM-87803_1_d7cb16f9-ef8b-4ed0-8a03-c4abcfa388df.jpg?v=1784625440","image/jpeg","299767","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/OCM-87803_3_7a747234-9352-40f2-89aa-1699db5fd516.jpg?v=1784625440","image/jpeg","71088","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/OCM-87803_2_32d04945-c8d0-4bb5-bb0e-57aecb87d04d.jpg?v=1784625440","image/jpeg","146484","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/OCM-87803_4_dda2b03e-de8d-44cf-86c0-3861ee29cc9c.jpg?v=1784625440","image/jpeg","53953","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/OCM-87803_7_d131587c-d5ae-4d28-8db1-ca4e549b0b18.jpg?v=1784625440","image/jpeg","82612","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/OCM-87803_6_e135386a-5bb0-4419-a9db-9fe15cb5bc48.jpg?v=1784625440","image/jpeg","137137","1","Indexable","",""
"https://offlimits.co.in/cdn/shop/files/s2s_2_161ecf49-e386-4fc3-b36b-ec2c40794f0f.png?v=1784625635","image/png","972798","1","Indexable","",""
