check_id,url,severity,status,source,artifact_ref,result,next_action
thin_prompt_variant_pages,https://inc5shop.com/agents.md,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3c4d9bb37d00/firecrawl.json,Rendered public text has 1252 words.,
docs_content_extractable,https://inc5shop.com/agents.md,medium,not_applicable,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3c4d9bb37d00/firecrawl.json,This is not a docs or support URL.,
crawl_status,https://inc5shop.com/products/block-heel-boots,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,URL crawled with status 200.,
indexable,https://inc5shop.com/products/block-heel-boots,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,Indexability is yes.,
title_present,https://inc5shop.com/products/block-heel-boots,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,Title: Buy Women’s Block Heel Boots – Modern Chic & Comfort | INC.5 Buy Women’s Block Heel Boots – Modern Chic & Comfort | INC.5,
meta_description_present,https://inc5shop.com/products/block-heel-boots,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,"Meta description: INC.5 block heel boots offer a sleek, versatile silhouette, perfect for urban outings or casual weekends. Buy comfort-driven fashion to elevate any wardrobe.",
single_h1,https://inc5shop.com/products/block-heel-boots,medium,fail,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,H1 count is 2.,Use one clear H1 on the page.
canonical_match,https://inc5shop.com/products/block-heel-boots,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,Canonical: https://inc5shop.com/products/block-heel-boots,
schema_present,https://inc5shop.com/products/block-heel-boots,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,"Schema types: Brand, Offer, Organization, Product, ProductGroup",
image_alt_text,https://inc5shop.com/products/block-heel-boots,low,fail,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,10 images are missing alt text.,Add useful alt text for meaningful images.
sitemap_inclusion,https://inc5shop.com/products/block-heel-boots,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,Sitemap inclusion is yes.,
content_visible,https://inc5shop.com/products/block-heel-boots,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,Rendered public text has 62848 words.,
content_type_classifiable,https://inc5shop.com/products/block-heel-boots,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,"Public URL, title, and rendered text were reviewed for a recognizable page type.",
resource_rendering_not_blocked,https://inc5shop.com/products/block-heel-boots,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,Critical page content rendered successfully.,
title_not_keyword_stuffed,https://inc5shop.com/products/block-heel-boots,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,Title reviewed for repeated terms and separator stuffing: Buy Women’s Block Heel Boots – Modern Chic & Comfort | INC.5 Buy Women’s Block Heel Boots – Modern Chic & Comfort | INC.5.,
heading_not_keyword_stuffed,https://inc5shop.com/products/block-heel-boots,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,14 rendered headings reviewed for stuffing.,
preview_controls_safe,https://inc5shop.com/products/block-heel-boots,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,No harmful snippet preview controls were detected.,
url_path_clean,https://inc5shop.com/products/block-heel-boots,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,"URL path reviewed for IDs, dates, session keys, and implementation details.",
media_support_present,https://inc5shop.com/products/block-heel-boots,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,22 images found on the page.,
content_not_ai_slop,https://inc5shop.com/products/block-heel-boots,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,Rendered copy reviewed for common generic AI filler phrases.,
thin_prompt_variant_pages,https://inc5shop.com/products/block-heel-boots,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,Rendered public text has 62848 words.,
docs_content_extractable,https://inc5shop.com/products/block-heel-boots,medium,not_applicable,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/3382a8d12f56/firecrawl.json,This is not a docs or support URL.,
crawl_status,https://inc5shop.com/products/block-transparent-mules-white-300385,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,URL crawled with status 200.,
indexable,https://inc5shop.com/products/block-transparent-mules-white-300385,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,Indexability is yes.,
title_present,https://inc5shop.com/products/block-transparent-mules-white-300385,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,Title: Buy White Block Transparent Mules – Modern Minimalism | INC.5 Buy White Block Transparent Mules – Modern Minimalism | INC.5,
meta_description_present,https://inc5shop.com/products/block-transparent-mules-white-300385,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,"Meta description: INC.5 white transparent block mules blend airy design and walkable comfort, perfect for fresh summer looks or chic occasions. Shop this versatile style now.",
single_h1,https://inc5shop.com/products/block-transparent-mules-white-300385,medium,fail,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,H1 count is 2.,Use one clear H1 on the page.
canonical_match,https://inc5shop.com/products/block-transparent-mules-white-300385,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,Canonical: https://inc5shop.com/products/block-transparent-mules-white-300385,
schema_present,https://inc5shop.com/products/block-transparent-mules-white-300385,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,"Schema types: Brand, Offer, Organization, Product, ProductGroup",
image_alt_text,https://inc5shop.com/products/block-transparent-mules-white-300385,low,fail,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,2 images are missing alt text.,Add useful alt text for meaningful images.
sitemap_inclusion,https://inc5shop.com/products/block-transparent-mules-white-300385,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,Sitemap inclusion is yes.,
content_visible,https://inc5shop.com/products/block-transparent-mules-white-300385,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,Rendered public text has 64612 words.,
content_type_classifiable,https://inc5shop.com/products/block-transparent-mules-white-300385,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,"Public URL, title, and rendered text were reviewed for a recognizable page type.",
resource_rendering_not_blocked,https://inc5shop.com/products/block-transparent-mules-white-300385,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,Critical page content rendered successfully.,
title_not_keyword_stuffed,https://inc5shop.com/products/block-transparent-mules-white-300385,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,Title reviewed for repeated terms and separator stuffing: Buy White Block Transparent Mules – Modern Minimalism | INC.5 Buy White Block Transparent Mules – Modern Minimalism | INC.5.,
heading_not_keyword_stuffed,https://inc5shop.com/products/block-transparent-mules-white-300385,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,15 rendered headings reviewed for stuffing.,
preview_controls_safe,https://inc5shop.com/products/block-transparent-mules-white-300385,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,No harmful snippet preview controls were detected.,
url_path_clean,https://inc5shop.com/products/block-transparent-mules-white-300385,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,"URL path reviewed for IDs, dates, session keys, and implementation details.",
